"State / UT","IOCL/AOD","HPCL","BPCL"," TOTAL"," TOTAL (As on 1.4.2011)"
"Andhra Pradesh","5799","6635","3166","15600","14061"
"Arunachal Pradesh","183","0","1","183","164"
"Assam","2261","56","131","2448","2275"
"Bihar","2351","725","749","3825","3286"
"Chhattisgarh","711","454","214","1380","1279"
"Delhi","3296","701","1076","5073","4616"
"Goa","12","309","169","490","467"
"Gujarat","3728","1457","1626","6811","6375"
"Haryana","1961","871","1329","4162","3908"
"Himachal Pradesh","1248","179","102","1528","1424"
"Jammu & Kashmir","461","1058","159","1677","1587"
"Jharkhand","1003","279","182","1464","1346"
"Karnataka","3483","2678","1964","8126","7507"
"Kerala","3711","1169","2142","7022","6627"
"Madhya Pradesh","2793","1601","1586","5980","5060"
"Maharashtra","2198","7510","7557","17265","15875"
"Manipur","285","0","0","285","254"
"Meghalaya","156","0","0","156","138"
"Mizoram","242","0","0","242","223"
"Nagaland","185","0","0","186","168"
"Orissa","768","847","421","2036","1824"
"Punjab","3347","1133","1361","5841","5619"
"Rajasthan","2963","1745","1656","6364","5607"
"Sikkim","173","0","0","173","141"
"Tamil Nadu","7937","2047","3652","13637","13051"
"Tripura","332","0","0","332","295"
"Uttar Pradesh","8727","2205","3658","14591","13021"
"Uttarakhand","1580","137","263","1980","1824"
"West Bengal","4616","1605","1162","7383","6525"
"Andaman & Nicobar","63","0","0","63","59"
"Chandigarh","251","80","49","380","366"
"Dadra & Nagar Haveli","0","55","0","55","49"
"Daman & Diu","0","36","20","56","53"
"Lakshadweep","2","0","0","2","3"
"Puducherry","118","124","81","323","311"
