"State / UT","IOCL/AOD","HPCL","BPCL"," TOTAL","TOTAL (As on 1.4.2011)"
"Andhra Pradesh","1651","1173","970","3794","3374"
"Arunachal Pradesh","48","0","1","49","48"
"Assam","474","72","43","589","561"
"Bihar","1074","331","466","1871","1653"
"Chhattisgarh","284","235","212","731","632"
"Delhi","201","97","110","408","409"
"Goa","27","34","44","105","100"
"Gujarat","995","560","509","2064","1926"
"Haryana","1038","522","324","1884","1721"
"Himachal Pradesh","197","99","55","351","320"
"Jammu & Kashmir","200","116","106","422","404"
"Jharkhand","413","221","223","857","769"
"Karnataka","1431","768","694","2893","2585"
"Kerala","782","543","438","1763","1710"
"Madhya Pradesh","913","580","654","2147","1929"
"Maharashtra","1397","1212","1228","3837","3565"
"Manipur","56","0","2","58","57"
"Meghalaya","105","19","10","134","132"
"Mizoram","23","3","0","26","25"
"Nagaland","46","3","3","52","50"
"Orissa","580","246","326","1152","1052"
"Punjab","1554","795","585","2934","2814"
"Rajasthan","1277","805","638","2720","2572"
"Sikkim","13","6","15","34","31"
"Tamil Nadu","1671","1008","1015","3694","3401"
"Tripura","45","0","0","45","43"
"Uttar Pradesh","2714","1169","1054","4937","4643"
"Uttarakhand","210","139","90","439","413"
"West Bengal","1032","435","458","1925","1808"
"Andaman & Nicobar","9","0","0","9","9"
"Chandigarh","20","11","10","41","41"
"Dadra & Nagar Haveli","9","6","1","16","15"
"Daman & Diu","11","7","3","21","21"
"Lakshadweep","0","0","0","0","0"
"Puducherry","75","38","23","136","131"
